"n","b","est","psi","lower","upper","mc_id"
500,159,"raking",0.0159153476537603,-0.0517437172125146,0.0835744125200353,159
500,160,"raking",0.0085290162266391,-0.0628067793245913,0.0798648117778695,160
500,161,"raking",0.0465647661356062,-0.0234454723733431,0.116575004644555,161
500,162,"raking",0.00736366636944039,-0.0515146860806655,0.0662420188195463,162
500,163,"raking",0.0186145405306983,-0.0437107783277869,0.0809398593891834,163
500,164,"raking",0.0360327470570084,-0.0288715470844587,0.100937041198476,164
500,165,"raking",0.0808535062073198,0.00762110481790032,0.154085907596739,165
500,166,"raking",0.0925376132147749,0.0172827112712381,0.167792515158312,166
500,167,"raking",-0.0429992431386274,-0.114357629106944,0.0283591428296894,167
500,168,"raking",0.0531815973937355,-0.0156660424638761,0.122029237251347,168
500,169,"raking",0.00991461890285038,-0.0614348742137282,0.081264112019429,169
500,170,"raking",0.0641138183509722,0.0041688048157898,0.124058831886155,170
500,171,"raking",-0.0140223369268622,-0.0803689594144263,0.0523242855607019,171
500,172,"raking",0.00237428432677995,-0.0619089074905435,0.0666574761441033,172
500,173,"raking",-0.000808451590436502,-0.0734662985067738,0.0718493953259007,173
500,174,"raking",0.0392372065107548,-0.0272414341456023,0.105715847167112,174
500,175,"raking",-0.0226690355169201,-0.0820078683117734,0.0366697972779332,175
